ticker,simulated_time,interval_index,caching_policy,fresh_decision,cached_decision,matched,branch_taken,hit_or_miss,cached_latency_ms
AAPL,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,news_sentiment,miss,246.4
GOOG,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,miss,203.3
TSLA,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,miss,233.5
NVDA,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,miss,396.0
META,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,miss,335.1
COIN,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,miss,195.0
MARA,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,miss,236.6
HUT,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,BUY,BUY,True,trend,miss,247.7
SOUN,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,miss,220.0
RIOT,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,BUY,BUY,True,trend,miss,243.2
IREN,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,BUY,BUY,True,trend,miss,236.2
AAPL,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit,56.2
GOOG,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,88.3
TSLA,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,64.5
NVDA,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,62.9
META,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,59.5
COIN,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,55.8
MARA,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,65.5
HUT,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,BUY,BUY,True,trend,hit,65.1
SOUN,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,69.1
RIOT,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,BUY,BUY,True,trend,hit,80.1
IREN,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,BUY,BUY,True,trend,hit,60.2
AAPL,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit,56.6
GOOG,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,65.1
TSLA,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,68.2
NVDA,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,87.5
META,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,60.3
COIN,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,62.0
MARA,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,70.0
HUT,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,BUY,BUY,True,trend,hit,63.0
SOUN,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,71.1
RIOT,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,BUY,BUY,True,trend,hit,68.3
IREN,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,BUY,BUY,True,trend,hit,59.2
AAPL,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit,44.8
GOOG,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,68.7
TSLA,2026-04-07T23:54:56.121531+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,56.4
NVDA,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,67.5
META,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,64.5
COIN,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,60.7
MARA,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,SELL,HOLD,False,trend,hit,65.6
HUT,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,BUY,BUY,True,trend,hit,72.9
SOUN,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,SELL,HOLD,False,trend,hit,53.1
RIOT,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,BUY,BUY,True,trend,hit,65.0
IREN,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,BUY,BUY,True,trend,hit,52.8
AAPL,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,news_sentiment,miss,116.9
GOOG,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,miss,195.9
TSLA,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,miss,100.8
NVDA,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,miss,225.6
META,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,miss,224.4
COIN,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,miss,142.9
MARA,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,SELL,SELL,True,trend,miss,114.8
HUT,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,BUY,BUY,True,trend,miss,142.6
SOUN,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,SELL,SELL,True,trend,miss,156.5
RIOT,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,BUY,BUY,True,trend,miss,132.6
AAPL,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit,43.7
GOOG,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,72.1
TSLA,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,72.3
NVDA,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,69.5
META,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,55.7
COIN,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,55.6
MARA,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,SELL,SELL,True,trend,hit,53.3
HUT,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,BUY,BUY,True,trend,hit,54.0
SOUN,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,SELL,SELL,True,trend,hit,61.8
RIOT,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,BUY,BUY,True,trend,hit,83.6
IREN,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,BUY,BUY,True,trend,hit,59.7
AAPL,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit,53.5
GOOG,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,57.6
TSLA,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,83.0
NVDA,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,55.5
META,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,69.6
COIN,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,90.6
MARA,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,SELL,SELL,True,trend,hit,81.0
HUT,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,BUY,BUY,True,trend,hit,52.3
SOUN,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,SELL,SELL,True,trend,hit,80.8
RIOT,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,BUY,BUY,True,trend,hit,53.7
IREN,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,BUY,BUY,True,trend,hit,64.3
AAPL,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit,45.0
GOOG,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,56.8
TSLA,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,70.2
NVDA,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,59.6
META,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,71.2
COIN,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,48.2
MARA,2026-04-07T23:55:16.121531+00:00,2,fixed_ttl,SELL,SELL,True,trend,hit,75.4
SOUN,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,SELL,SELL,True,trend,hit,53.7
RIOT,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,BUY,False,trend,hit,82.0
IREN,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,BUY,BUY,True,trend,hit,59.9
AAPL,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit,60.3
GOOG,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,trend,hit,53.1
TSLA,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,trend,hit,56.2
NVDA,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,trend,hit,60.3
META,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,trend,hit,68.6
COIN,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,trend,hit,67.4
MARA,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,SELL,SELL,True,trend,hit,70.2
HUT,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,BUY,BUY,True,trend,hit,70.3
RIOT,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,BUY,False,trend,hit,47.6
IREN,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,BUY,BUY,True,trend,hit,65.5
AAPL,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,news_sentiment,miss,142.4
GOOG,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,trend,miss,161.8
TSLA,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,trend,miss,144.9
NVDA,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,trend,miss,151.0
META,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,trend,miss,129.7
COIN,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,trend,miss,114.9
MARA,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,SELL,SELL,True,trend,miss,148.7
HUT,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,BUY,BUY,True,trend,miss,178.8
SOUN,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,SELL,SELL,True,trend,miss,173.0
RIOT,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,trend,miss,157.5
IREN,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,BUY,BUY,True,trend,miss,176.3
GOOG,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,trend,hit,1175.1
TSLA,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,trend,hit,46.3
NVDA,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,trend,hit,63.2
META,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,trend,hit,75.9
COIN,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,trend,hit,80.0
MARA,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,SELL,SELL,True,trend,hit,63.5
HUT,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,BUY,BUY,True,trend,hit,58.3
SOUN,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,SELL,SELL,True,trend,hit,58.9
RIOT,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,trend,hit,68.9
IREN,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,BUY,BUY,True,trend,hit,72.2
AAPL,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit,44.1
GOOG,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,trend,hit,60.1
TSLA,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,trend,hit,60.8
NVDA,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,trend,hit,69.4
META,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,trend,hit,58.5
COIN,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,HOLD,HOLD,True,trend,hit,66.9
MARA,2026-04-07T23:55:36.121531+00:00,3,fixed_ttl,SELL,SELL,True,trend,hit,64.3
HUT,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,BUY,BUY,True,trend,hit,69.3
SOUN,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,SELL,SELL,True,trend,hit,69.4
RIOT,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,trend,hit,57.7
IREN,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,BUY,BUY,True,trend,hit,58.0
AAPL,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit,42.3
GOOG,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,trend,hit,80.1
TSLA,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,trend,hit,53.8
NVDA,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,trend,hit,64.6
META,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,trend,hit,65.2
COIN,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,trend,hit,49.1
MARA,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,SELL,SELL,True,trend,hit,53.8
HUT,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,BUY,BUY,True,trend,hit,60.0
SOUN,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,SELL,SELL,True,trend,hit,46.9
RIOT,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,trend,hit,48.7
IREN,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,BUY,BUY,True,trend,hit,50.7
AAPL,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit,39.7
GOOG,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,trend,hit,66.4
TSLA,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,trend,hit,63.3
NVDA,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,trend,hit,49.6
META,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,trend,hit,74.4
COIN,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,trend,hit,55.0
MARA,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,SELL,SELL,True,trend,hit,85.7
HUT,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,BUY,BUY,True,trend,hit,64.1
SOUN,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,SELL,SELL,True,trend,hit,79.1
RIOT,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,trend,hit,64.9
AAPL,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,news_sentiment,miss,142.0
NVDA,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,trend,miss,136.7
META,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,trend,miss,168.1
COIN,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,trend,miss,164.1
MARA,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,SELL,SELL,True,trend,miss,166.9
HUT,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,BUY,BUY,True,trend,miss,181.4
SOUN,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,SELL,SELL,True,trend,miss,164.0
RIOT,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,trend,miss,117.0
IREN,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,BUY,BUY,True,trend,miss,147.0
GOOG,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,trend,miss,144.6
NVDA,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,trend,hit,46.7
META,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,trend,hit,65.4
COIN,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,trend,hit,65.4
MARA,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,SELL,SELL,True,trend,hit,58.7
SOUN,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,SELL,SELL,True,trend,hit,61.2
RIOT,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,trend,hit,86.4
IREN,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,BUY,BUY,True,trend,hit,61.6
AAPL,2026-04-07T23:55:56.121531+00:00,4,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit,52.4
GOOG,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,hit,84.0
TSLA,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,hit,89.4
NVDA,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,hit,62.1
META,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,hit,77.0
MARA,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,SELL,SELL,True,trend,hit,41.9
HUT,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,BUY,BUY,True,trend,hit,54.9
SOUN,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,SELL,SELL,True,trend,hit,62.7
RIOT,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,hit,59.9
IREN,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,BUY,False,trend,hit,58.5
AAPL,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit,43.2
GOOG,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,hit,62.0
TSLA,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,hit,65.4
NVDA,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,hit,72.5
META,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,hit,58.2
COIN,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,hit,54.4
MARA,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,SELL,SELL,True,trend,hit,75.5
HUT,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,BUY,BUY,True,trend,hit,57.3
SOUN,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,SELL,SELL,True,trend,hit,60.0
IREN,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,BUY,False,trend,hit,52.5
AAPL,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit,48.7
GOOG,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,hit,67.7
TSLA,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,hit,62.3
COIN,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,hit,46.7
MARA,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,SELL,SELL,True,trend,hit,91.1
HUT,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,BUY,BUY,True,trend,hit,57.3
SOUN,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,SELL,SELL,True,trend,hit,72.4
RIOT,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,hit,62.9
IREN,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,BUY,False,trend,hit,62.1
AAPL,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,news_sentiment,miss,126.1
GOOG,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,hit,62.9
TSLA,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,miss,186.8
NVDA,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,miss,137.1
META,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,miss,133.2
COIN,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,miss,162.1
MARA,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,SELL,SELL,True,trend,miss,138.4
HUT,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,BUY,BUY,True,trend,miss,138.6
SOUN,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,SELL,SELL,True,trend,miss,146.3
RIOT,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,miss,182.3
IREN,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,miss,143.3
AAPL,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit,115.0
TSLA,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,hit,52.0
NVDA,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,hit,67.6
META,2026-04-07T23:56:16.121531+00:00,5,fixed_ttl,HOLD,HOLD,True,trend,hit,58.9
COIN,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,hit,66.6
MARA,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,SELL,SELL,True,trend,hit,63.4
HUT,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,BUY,BUY,True,trend,hit,58.2
SOUN,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,SELL,SELL,True,trend,hit,59.2
RIOT,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,hit,54.2
IREN,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,hit,57.0
AAPL,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit,55.3
GOOG,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,miss,164.4
TSLA,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,hit,85.3
NVDA,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,hit,92.6
META,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,hit,54.8
COIN,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,hit,62.4
MARA,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,SELL,SELL,True,trend,hit,68.7
HUT,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,BUY,BUY,True,trend,hit,57.1
RIOT,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,hit,47.4
IREN,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,hit,61.1
AAPL,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit,46.4
GOOG,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,hit,57.2
TSLA,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,hit,68.7
NVDA,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,hit,66.9
META,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,hit,59.9
COIN,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,hit,74.1
MARA,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,SELL,SELL,True,trend,hit,72.6
HUT,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,BUY,BUY,True,trend,hit,74.7
SOUN,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,SELL,SELL,True,trend,hit,64.5
RIOT,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,hit,100.3
IREN,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,hit,58.8
GOOG,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,hit,54.1
TSLA,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,hit,73.2
META,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,hit,48.4
MARA,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,SELL,SELL,True,trend,hit,40.0
HUT,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,BUY,BUY,True,trend,hit,47.6
SOUN,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,SELL,SELL,True,trend,hit,41.2
RIOT,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,hit,64.5
IREN,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,hit,54.9
AAPL,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,news_sentiment,miss,144.7
GOOG,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,hit,55.2
TSLA,2026-04-07T23:56:36.121531+00:00,6,fixed_ttl,HOLD,HOLD,True,trend,miss,151.8
